#,PLANTA,FRUTO,SEVERIDAD (%),"Rain (S-RGF 21246400:21256003-1), mm, PATFA1 (INIAP)","Temperature (S-THC 21246400:21262596-1), *C, PATFA1 (INIAP)","RH (S-THC 21246400:21262596-2), %, PATFA1 (INIAP)","Dew Point (S-THC 21246400:21262596-3), *C, PATFA1 (INIAP)","Wind Speed (S-WSB 21246400:21262656-1), m/s, PATFA1 (INIAP)","Gust Speed (S-WSB 21246400:21262656-2), m/s, PATFA1 (INIAP)","Wind Direction (S-WDA 21246400:21268488-1), *, PATFA1 (INIAP)",INCIDENCIA,
74,PL008,4,0,0.001984127,23.41535119,84.20419048,20.1311627,0.196924603,0.94796627,173.0823413,0,
75,PL008,5,0,0.001984127,23.41535119,84.20419048,20.1311627,0.196924603,0.94796627,173.0823413,0,
76,PL008,6,0,0.001984127,23.41535119,84.20419048,20.1311627,0.196924603,0.94796627,173.0823413,0,
77,PL008,7,0,0.001984127,23.41535119,84.20419048,20.1311627,0.196924603,0.94796627,173.0823413,0,
78,PL008,8,0,0.001984127,23.41535119,84.20419048,20.1311627,0.196924603,0.94796627,173.0823413,0,
79,PL008,9,0,0.001984127,23.41535119,84.20419048,20.1311627,0.196924603,0.94796627,173.0823413,0,
80,PL008,10,0,0.001984127,23.41535119,84.20419048,20.1311627,0.196924603,0.94796627,173.0823413,0,
81,PL009,1,0,0.001984127,23.41535119,84.20419048,20.1311627,0.196924603,0.94796627,173.0823413,0,
82,PL009,2,0,0.001984127,23.41535119,84.20419048,20.1311627,0.196924603,0.94796627,173.0823413,0,
83,PL009,3,0,0.001984127,23.41535119,84.20419048,20.1311627,0.196924603,0.94796627,173.0823413,0,
84,PL009,4,0,0.001984127,23.41535119,84.20419048,20.1311627,0.196924603,0.94796627,173.0823413,0,
85,PL009,5,0,0.001984127,23.41535119,84.20419048,20.1311627,0.196924603,0.94796627,173.0823413,0,
86,PL009,6,0,0.001984127,23.41535119,84.20419048,20.1311627,0.196924603,0.94796627,173.0823413,0,
87,PL009,7,0,0.001984127,23.41535119,84.20419048,20.1311627,0.196924603,0.94796627,173.0823413,0,
88,PL009,8,0,0.001984127,23.41535119,84.20419048,20.1311627,0.196924603,0.94796627,173.0823413,0,
89,PL009,9,40,0.001984127,23.41535119,84.20419048,20.1311627,0.196924603,0.94796627,173.0823413,1,
90,PL009,10,0,0.001984127,23.41535119,84.20419048,20.1311627,0.196924603,0.94796627,173.0823413,0,
91,PL010,1,0,0.001984127,23.41535119,84.20419048,20.1311627,0.196924603,0.94796627,173.0823413,0,
92,PL010,2,0,0.001984127,23.41535119,84.20419048,20.1311627,0.196924603,0.94796627,173.0823413,0,
93,PL010,3,0,0.001984127,23.41535119,84.20419048,20.1311627,0.196924603,0.94796627,173.0823413,0,
94,PL010,4,0,0.001984127,23.41535119,84.20419048,20.1311627,0.196924603,0.94796627,173.0823413,0,
95,PL010,5,0,0.001984127,23.41535119,84.20419048,20.1311627,0.196924603,0.94796627,173.0823413,0,
96,PL010,6,0,0.001984127,23.41535119,84.20419048,20.1311627,0.196924603,0.94796627,173.0823413,0,
97,PL010,7,0,0.001984127,23.41535119,84.20419048,20.1311627,0.196924603,0.94796627,173.0823413,0,
98,PL010,8,65,0.001984127,23.41535119,84.20419048,20.1311627,0.196924603,0.94796627,173.0823413,1,
99,PL010,9,0,0.001984127,23.41535119,84.20419048,20.1311627,0.196924603,0.94796627,173.0823413,0,
100,PL010,10,0,0.001984127,23.41535119,84.20419048,20.1311627,0.196924603,0.94796627,173.0823413,0,
1,PL001,1,0,0.015575397,25.02377927,86.22519792,22.19985714,0.095982143,0.745287698,180.5768849,0,
2,PL001,2,0,0.015575397,25.02377927,86.22519792,22.19985714,0.095982143,0.745287698,180.5768849,0,
3,PL001,3,10,0.015575397,25.02377927,86.22519792,22.19985714,0.095982143,0.745287698,180.5768849,1,
4,PL001,4,0,0.015575397,25.02377927,86.22519792,22.19985714,0.095982143,0.745287698,180.5768849,0,
5,PL001,5,0,0.015575397,25.02377927,86.22519792,22.19985714,0.095982143,0.745287698,180.5768849,0,
6,PL001,6,0,0.015575397,25.02377927,86.22519792,22.19985714,0.095982143,0.745287698,180.5768849,0,
7,PL001,7,0,0.015575397,25.02377927,86.22519792,22.19985714,0.095982143,0.745287698,180.5768849,0,
8,PL001,8,0,0.015575397,25.02377927,86.22519792,22.19985714,0.095982143,0.745287698,180.5768849,0,
9,PL001,9,90,0.015575397,25.02377927,86.22519792,22.19985714,0.095982143,0.745287698,180.5768849,1,
10,PL001,10,0,0.015575397,25.02377927,86.22519792,22.19985714,0.095982143,0.745287698,180.5768849,0,
11,PL002,1,0,0.015575397,25.02377927,86.22519792,22.19985714,0.095982143,0.745287698,180.5768849,0,
12,PL002,2,0,0.015575397,25.02377927,86.22519792,22.19985714,0.095982143,0.745287698,180.5768849,0,
13,PL002,3,0,0.015575397,25.02377927,86.22519792,22.19985714,0.095982143,0.745287698,180.5768849,0,
14,PL002,4,100,0.015575397,25.02377927,86.22519792,22.19985714,0.095982143,0.745287698,180.5768849,1,
15,PL002,5,0,0.015575397,25.02377927,86.22519792,22.19985714,0.095982143,0.745287698,180.5768849,0,
16,PL002,6,80,0.015575397,25.02377927,86.22519792,22.19985714,0.095982143,0.745287698,180.5768849,1,
17,PL002,7,100,0.015575397,25.02377927,86.22519792,22.19985714,0.095982143,0.745287698,180.5768849,1,
18,PL002,8,0,0.015575397,25.02377927,86.22519792,22.19985714,0.095982143,0.745287698,180.5768849,0,
19,PL002,9,0,0.015575397,25.02377927,86.22519792,22.19985714,0.095982143,0.745287698,180.5768849,0,
20,PL002,10,0,0.015575397,25.02377927,86.22519792,22.19985714,0.095982143,0.745287698,180.5768849,0,
21,PL003,1,0,0.015575397,25.02377927,86.22519792,22.19985714,0.095982143,0.745287698,180.5768849,0,
22,PL003,2,0,0.015575397,25.02377927,86.22519792,22.19985714,0.095982143,0.745287698,180.5768849,0,
