classes,functions,duplicated_lines,complexity,comment_lines,files,lines,statements,bugs,Toxicos
939,6270,0,9819,5808,1038,66802,33539,0,1
0,0,0,0,0,0,0,0,0,1
0,0,0,0,0,0,0,0,0,1
313,2088,0,3271,1936,346,22256,11174,0,1
313,2051,0,3231,1916,337,21804,11070,0,1
1878,12276,0,19344,11418,2022,129804,66198,0,2
0,0,0,0,0,0,0,0,0,1
0,0,0,0,0,0,0,0,0,1
0,0,0,0,0,0,0,0,0,1
0,0,0,0,0,0,0,0,0,1
313,2046,0,3224,1903,337,21634,11033,0,1
622,4066,0,6402,3771,674,42712,21880,0,1
309,2025,0,3187,1875,337,21231,10887,0,1
309,2025,0,3187,1875,337,21231,10887,0,1
309,2025,0,3187,1875,337,21231,10887,0,1
0,0,0,0,0,0,0,0,0,1
