classes,ncloc,functions,duplicated_lines,skipped_tests,coverage,complexity,comment_lines,comment_lines_density,duplicated_lines_density,files,file_complexity,violations,duplicated_blocks,duplicated_files,lines,statements,blocker_violations,critical_violations,major_violations,minor_violations,info_violations,lines_to_cover,line_coverage,conditions_to_cover,branch_coverage,sqale_index,sqale_rating,false_positive_issues,open_issues,reopened_issues,confirmed_issues,sqale_debt_ratio,new_sqale_debt_ratio,code_smells,bugs,effort_to_reach_maintainability_rating_a,reliability_remediation_effort,reliability_rating,security_remediation_effort,security_rating,cognitive_complexity,new_development_cost,security_hotspots,security_review_rating,Toxico
2192,123818,13299,5865,254,70.8,19012,24623,16.6,2.8,1899,12,2366,204,139,213179,31095,62,294,1093,817,100,43962,71.7,10402,67.3,24242,1,30,2366,0,0,0.7,0.049603175,2247,94,0,1319,5,270,5,6873,10080,33,5,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2192,123814,13299,5865,254,70.8,19011,24623,16.6,2.8,1899,12,2373,204,139,213175,31095,62,294,1093,824,100,43960,71.7,10400,67.3,24277,1,30,2373,0,0,0.7,0,2254,94,0,1319,5,270,5,6872,9600,33,5,0
2192,123814,13299,5865,254,70.8,19011,24623,16.6,2.8,1899,12,2373,204,139,213175,31095,62,294,1093,824,100,43960,71.7,10400,67.3,24277,1,30,2373,0,0,0.7,0.378590078,2254,94,0,1319,5,270,5,6872,45960,33,5,0
2192,123814,13299,5865,254,70.8,19011,24623,16.6,2.8,1899,12,2373,204,139,213175,31095,62,294,1093,824,100,43960,71.7,10400,67.3,24277,1,30,2373,0,0,0.7,0.378590078,2254,94,0,1319,5,270,5,6872,45960,33,5,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2192,123806,13298,5867,254,70.8,19010,24616,16.6,2.8,1899,12,2372,204,139,213157,31091,62,294,1093,824,99,43956,71.7,10400,67.3,24277,1,30,2372,0,0,0.7,0.38107753,2253,94,0,1319,5,270,5,6871,45660,33,5,0
2172,122627,13063,5709,254,70.6,18745,24146,16.5,2.7,1883,12,2346,194,134,210526,30741,62,294,1082,809,99,43548,71.5,10279,67,24028,1,30,2346,0,0,0.7,0,2227,94,0,1319,5,270,5,6798,9600,33,5,0
2172,122627,13063,5709,254,70.6,18745,24146,16.5,2.7,1883,12,2346,194,134,210526,30741,62,294,1082,809,99,43548,71.5,10279,67,24028,1,30,2346,0,0,0.7,0,2227,94,0,1319,5,270,5,6798,9600,33,5,0
2172,122627,13063,5709,254,70.6,18745,24146,16.5,2.7,1883,12,2346,194,134,210526,30741,62,294,1082,809,99,43548,71.5,10279,67,24028,1,30,2346,0,0,0.7,0,2227,94,0,1319,5,270,5,6798,9600,33,5,0
2172,122627,13063,5709,254,70.6,18745,24146,16.5,2.7,1883,12,2346,194,134,210526,30741,62,294,1082,809,99,43548,71.5,10279,67,24028,1,30,2346,0,0,0.7,0,2227,94,0,1319,5,270,5,6798,9600,33,5,0
2172,122627,13063,5709,254,70.6,18745,24146,16.5,2.7,1883,12,2346,194,134,210526,30741,62,294,1082,809,99,43548,71.5,10279,67,24028,1,30,2346,0,0,0.7,0,2227,94,0,1319,5,270,5,6798,9600,33,5,0
2172,122627,13063,5709,254,70.6,18745,24146,16.5,2.7,1883,12,2346,194,134,210526,30741,62,294,1082,809,99,43548,71.5,10279,67,24028,1,30,2346,0,0,0.7,0,2227,94,0,1319,5,270,5,6798,9600,33,5,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2172,122626,13063,5709,254,70.6,18745,24145,16.5,2.7,1883,12,2346,194,134,210523,30741,62,294,1082,809,99,43548,71.5,10279,67,24028,1,30,2346,0,0,0.7,0,2227,94,0,1319,5,270,5,6798,9570,33,5,0
